fixture_id,group,stage,match_date,kickoff_utc,home_team,away_team,home_score,away_score,venue,city,status
1,Group A,Group stage,2026-06-11,,Mexico,South Africa,2.0,0.0,Estadio Azteca,Mexico City,completed
2,Group A,Group stage,2026-06-11,,South Korea,Czech Republic,2.0,1.0,Estadio Akron,Zapopan,completed
3,Group B,Group stage,2026-06-12,,Canada,Bosnia and Herzegovina,1.0,1.0,BMO Field,Toronto,completed
4,Group D,Group stage,2026-06-12,,United States,Paraguay,4.0,1.0,SoFi Stadium,"Inglewood, California",completed
5,Group B,Group stage,2026-06-13,,Qatar,Switzerland,1.0,1.0,Levi's Stadium,"Santa Clara, California",completed
6,Group C,Group stage,2026-06-13,,Brazil,Morocco,1.0,1.0,MetLife Stadium,"East Rutherford, New Jersey",completed
7,Group C,Group stage,2026-06-13,,Haiti,Scotland,0.0,1.0,Gillette Stadium,"Foxborough, Massachusetts",completed
8,Group D,Group stage,2026-06-13,,Australia,Turkey,2.0,0.0,BC Place,Vancouver,completed
9,Group E,Group stage,2026-06-14,,Germany,Curaçao,7.0,1.0,NRG Stadium,Houston,completed
10,Group E,Group stage,2026-06-14,,Ivory Coast,Ecuador,1.0,0.0,Lincoln Financial Field,Philadelphia,completed
11,Group F,Group stage,2026-06-14,,Netherlands,Japan,2.0,2.0,AT&T Stadium,"Arlington, Texas",completed
12,Group F,Group stage,2026-06-14,,Sweden,Tunisia,5.0,1.0,Estadio BBVA,"Guadalupe, Nuevo León",completed
13,Group G,Group stage,2026-06-15,,Belgium,Egypt,1.0,1.0,Lumen Field,Seattle,completed
14,Group G,Group stage,2026-06-15,,Iran,New Zealand,2.0,2.0,SoFi Stadium,"Inglewood, California",completed
15,Group H,Group stage,2026-06-15,,Spain,Cape Verde,0.0,0.0,Mercedes-Benz Stadium,Atlanta,completed
16,Group H,Group stage,2026-06-15,,Saudi Arabia,Uruguay,1.0,1.0,Hard Rock Stadium,"Miami Gardens, Florida",completed
17,Group I,Group stage,2026-06-16,,France,Senegal,3.0,1.0,MetLife Stadium,"East Rutherford, New Jersey",completed
18,Group I,Group stage,2026-06-16,,Iraq,Norway,1.0,4.0,Gillette Stadium,"Foxborough, Massachusetts",completed
19,Group J,Group stage,2026-06-16,,Argentina,Algeria,3.0,0.0,Arrowhead Stadium,"Kansas City, Missouri",completed
20,Group J,Group stage,2026-06-16,,Austria,Jordan,3.0,1.0,Levi's Stadium,"Santa Clara, California",completed
21,Group K,Group stage,2026-06-17,,Portugal,DR Congo,1.0,1.0,NRG Stadium,Houston,completed
22,Group K,Group stage,2026-06-17,,Uzbekistan,Colombia,1.0,3.0,Estadio Azteca,Mexico City,completed
23,Group L,Group stage,2026-06-17,,England,Croatia,4.0,2.0,AT&T Stadium,"Arlington, Texas",completed
24,Group L,Group stage,2026-06-17,,Ghana,Panama,1.0,0.0,BMO Field,Toronto,completed
25,Group A,Group stage,2026-06-18,,Czech Republic,South Africa,1.0,1.0,Mercedes-Benz Stadium,Atlanta,completed
26,Group A,Group stage,2026-06-18,,Mexico,South Korea,1.0,0.0,Estadio Akron,Zapopan,completed
27,Group B,Group stage,2026-06-18,,Switzerland,Bosnia and Herzegovina,4.0,1.0,SoFi Stadium,"Inglewood, California",completed
28,Group B,Group stage,2026-06-18,,Canada,Qatar,6.0,0.0,BC Place,Vancouver,completed
29,Group C,Group stage,2026-06-19,,Scotland,Morocco,0.0,1.0,Gillette Stadium,"Foxborough, Massachusetts",completed
30,Group C,Group stage,2026-06-19,,Brazil,Haiti,3.0,0.0,Lincoln Financial Field,Philadelphia,completed
31,Group D,Group stage,2026-06-19,,United States,Australia,2.0,0.0,Lumen Field,Seattle,completed
32,Group D,Group stage,2026-06-19,,Turkey,Paraguay,0.0,1.0,Levi's Stadium,"Santa Clara, California",completed
33,Group E,Group stage,2026-06-20,,Germany,Ivory Coast,2.0,1.0,BMO Field,Toronto,completed
34,Group E,Group stage,2026-06-20,,Ecuador,Curaçao,0.0,0.0,Arrowhead Stadium,"Kansas City, Missouri",completed
35,Group F,Group stage,2026-06-20,,Netherlands,Sweden,5.0,1.0,NRG Stadium,Houston,completed
36,Group G,Group stage,2026-06-21,,Belgium,Iran,0.0,0.0,SoFi Stadium,"Inglewood, California",completed
37,Group G,Group stage,2026-06-21,,New Zealand,Egypt,1.0,3.0,BC Place,Vancouver,completed
38,Group H,Group stage,2026-06-21,,Spain,Saudi Arabia,4.0,0.0,Mercedes-Benz Stadium,Atlanta,completed
39,Group H,Group stage,2026-06-21,,Uruguay,Cape Verde,2.0,2.0,Hard Rock Stadium,"Miami Gardens, Florida",completed
40,Group I,Group stage,2026-06-22,,France,Iraq,3.0,0.0,Lincoln Financial Field,Philadelphia,completed
41,Group I,Group stage,2026-06-22,,Norway,Senegal,3.0,2.0,MetLife Stadium,"East Rutherford, New Jersey",completed
