team_name,group,squad_number,position,player_name,date_of_birth,age,caps,international_goals,club,club_country,is_wc2026,data_source
Czech Republic,Group A,1.0,GK,Matěj Kovář,2000-05-17,26.0,20.0,0.0,PSV Eindhoven,Royal Dutch Football Association,True,wikipedia_2026
Czech Republic,Group A,2.0,DEF,David Zima,2000-11-08,25.0,25.0,1.0,Slavia Prague,Football Association of the Czech Republic,True,wikipedia_2026
Czech Republic,Group A,3.0,DEF,Tomáš Holeš,1993-03-31,33.0,41.0,2.0,Slavia Prague,Football Association of the Czech Republic,True,wikipedia_2026
Czech Republic,Group A,4.0,DEF,Robin Hranáč,2000-01-29,26.0,14.0,1.0,TSG Hoffenheim,German Football Association,True,wikipedia_2026
Czech Republic,Group A,5.0,DEF,Vladimír Coufal,1992-08-22,33.0,62.0,2.0,TSG Hoffenheim,German Football Association,True,wikipedia_2026
Czech Republic,Group A,6.0,DEF,Štěpán Chaloupek,2003-03-08,23.0,5.0,0.0,Slavia Prague,Football Association of the Czech Republic,True,wikipedia_2026
Czech Republic,Group A,7.0,DEF,Ladislav Krejčí ( captain ),1999-04-20,27.0,27.0,5.0,Wolverhampton Wanderers,The Football Association,True,wikipedia_2026
Czech Republic,Group A,8.0,MID,Vladimír Darida,1990-08-08,35.0,79.0,8.0,Hradec Králové,Football Association of the Czech Republic,True,wikipedia_2026
Czech Republic,Group A,9.0,FWD,Adam Hložek,2002-07-25,23.0,43.0,5.0,TSG Hoffenheim,German Football Association,True,wikipedia_2026
Czech Republic,Group A,10.0,FWD,Patrik Schick,1996-01-24,30.0,53.0,26.0,Bayer Leverkusen,German Football Association,True,wikipedia_2026
Czech Republic,Group A,11.0,FWD,Jan Kuchta,1997-01-08,29.0,31.0,3.0,Sparta Prague,Football Association of the Czech Republic,True,wikipedia_2026
Czech Republic,Group A,12.0,MID,Lukáš Červ,2001-04-10,25.0,17.0,2.0,Viktoria Plzeň,Football Association of the Czech Republic,True,wikipedia_2026
Czech Republic,Group A,13.0,FWD,Mojmír Chytil,1999-04-29,27.0,22.0,6.0,Slavia Prague,Football Association of the Czech Republic,True,wikipedia_2026
Czech Republic,Group A,14.0,DEF,David Jurásek,2000-08-07,25.0,18.0,1.0,Slavia Prague,Football Association of the Czech Republic,True,wikipedia_2026
Czech Republic,Group A,15.0,FWD,Pavel Šulc,2000-12-29,25.0,21.0,5.0,Lyon,French Football Federation,True,wikipedia_2026
Czech Republic,Group A,16.0,GK,Jindřich Staněk,1996-04-27,30.0,14.0,0.0,Slavia Prague,Football Association of the Czech Republic,True,wikipedia_2026
Czech Republic,Group A,17.0,MID,Lukáš Provod,1996-10-23,29.0,38.0,3.0,Slavia Prague,Football Association of the Czech Republic,True,wikipedia_2026
Czech Republic,Group A,18.0,MID,Michal Sadílek,1999-05-31,27.0,35.0,1.0,Slavia Prague,Football Association of the Czech Republic,True,wikipedia_2026
Czech Republic,Group A,19.0,FWD,Tomáš Chorý,1995-01-26,31.0,22.0,7.0,Slavia Prague,Football Association of the Czech Republic,True,wikipedia_2026
Czech Republic,Group A,20.0,DEF,Jaroslav Zelený,1992-08-20,33.0,23.0,0.0,Sparta Prague,Football Association of the Czech Republic,True,wikipedia_2026
Czech Republic,Group A,21.0,DEF,David Douděra,1998-05-31,28.0,17.0,2.0,Slavia Prague,Football Association of the Czech Republic,True,wikipedia_2026
Czech Republic,Group A,22.0,MID,Tomáš Souček,1995-02-27,31.0,90.0,17.0,West Ham United,The Football Association,True,wikipedia_2026
Czech Republic,Group A,23.0,GK,Lukáš Horníček,2002-07-13,23.0,1.0,0.0,Braga,Portuguese Football Federation,True,wikipedia_2026
Czech Republic,Group A,24.0,MID,Alexandr Sojka,2003-04-02,23.0,2.0,0.0,Viktoria Plzeň,Football Association of the Czech Republic,True,wikipedia_2026
Czech Republic,Group A,25.0,MID,Hugo Sochůrek,2008-06-07,18.0,1.0,0.0,Sparta Prague,Football Association of the Czech Republic,True,wikipedia_2026
Czech Republic,Group A,26.0,FWD,Denis Višinský,2003-03-21,23.0,2.0,1.0,Viktoria Plzeň,Football Association of the Czech Republic,True,wikipedia_2026
